buy,0,99.6
sell,2,101.5
buy,10,99.2
sell,12,101.5
buy,17,99.0
sell,28,109.0
buy,36,102.0
sell,43,104.5
buy,50,98.0
sell,53,100.5
buy,60,97.5
sell,62,101.5
buy,64,99.4
sell,81,115.0
buy,91,108.0
sell,93,112.0
buy,105,104.5
sell,116,111.0
buy,122,105.0
sell,126,110.0
buy,132,97.0
sell,139,102.5
buy,147,96.0
sell,175,105.5
buy,178,101.5
sell,195,111.5
buy,198,107.0
sell,201,110.0
buy,218,100.0
sell,225,104.0
buy,236,101.0
sell,239,104.0
buy,251,101.0
sell,259,106.5
buy,264,100.5
sell,285,114.5
buy,294,112.0
sell,303,120.0
buy,305,117.5
sell,311,122.5
buy,313,120.0
sell,314,123.0
buy,319,118.5
sell,341,124.0
buy,343,119.5
sell,368,136.0
buy,382,121.5
sell,384,124.5
buy,386,120.0
sell,387,123.5
buy,388,119.5
sell,407,128.5
buy,427,120.0
sell,431,126.0
buy,433,122.5
sell,434,125.0
buy,435,120.5
sell,442,129.0
buy,444,125.5
sell,455,134.5
buy,461,131.5
sell,463,139.0
buy,482,130.5
sell,485,138.5
buy,495,133.5
sell,497,138.0
buy,499,132.0
sell,510,147.0
buy,513,141.0
sell,516,146.0
buy,519,142.0
sell,525,154.5
buy,533,144.0
sell,536,149.0
buy,557,143.0
sell,558,147.0
buy,559,142.5
sell,564,152.5
buy,594,138.5
sell,598,144.5
buy,608,138.5
sell,612,142.5
buy,616,136.5
sell,621,140.0
buy,625,136.0
sell,631,139.5
buy,647,115.0
sell,652,129.0
buy,653,124.0
sell,655,127.0
buy,657,122.5
sell,659,129.0
buy,660,125.0
sell,666,131.5
buy,669,124.5
sell,696,144.5
buy,704,135.0
sell,712,142.5
buy,725,138.0
sell,727,145.0
buy,741,133.0
sell,749,138.0
buy,750,134.5
sell,786,160.0
buy,796,153.5
sell,807,157.0
buy,822,144.0
sell,841,165.5
buy,845,160.5
sell,849,166.0
buy,852,155.5
sell,874,176.5
buy,875,172.5
sell,876,177.0
buy,878,172.5
sell,883,179.5
buy,887,175.5
sell,903,184.0
buy,909,173.5
sell,914,187.5
buy,915,183.0
sell,933,193.0
buy,961,178.0
sell,966,186.0
buy,976,178.5
sell,989,184.5
buy,991,179.5
sell,1030,195.0
buy,1038,189.0
sell,1039,193.0
buy,1047,187.5
sell,1064,207.5
buy,1070,203.0
sell,1080,212.0
buy,1085,207.5
sell,1091,216.5
buy,1097,208.5
sell,1151,219.0
buy,1161,214.0
sell,1189,244.0
buy,1195,237.5
sell,1199,243.0
buy,1206,226.0
sell,1208,234.0
buy,1211,226.5
sell,1243,266.0
buy,1256,232.5
sell,1271,259.0
buy,1280,243.5
sell,1281,251.0
buy,1305,220.5
sell,1319,228.5
buy,1324,221.0
sell,1334,232.0
buy,1344,212.0
sell,1368,248.0
buy,1372,241.5
sell,1373,247.5
buy,1376,240.5
sell,1389,263.5
buy,1390,256.0
sell,1393,264.0
buy,1399,255.0
sell,1400,261.0
buy,1402,254.5
sell,1408,265.0
buy,1417,227.5
sell,1418,237.0
buy,1419,230.5
sell,1421,238.5
buy,1427,219.5
sell,1433,236.5
buy,1445,218.0
sell,1454,235.0
buy,1457,220.0
sell,1461,226.5
buy,1472,216.5
sell,1474,225.5
buy,1477,208.0
sell,1493,229.0
buy,1495,221.0
sell,1507,239.5
buy,1510,233.0
sell,1523,248.5
buy,1524,241.5
sell,1544,269.0
buy,1562,234.0
sell,1577,246.0
buy,1580,233.0
sell,1584,248.5
buy,1587,234.5
sell,1591,249.0
buy,1592,242.5
sell,1601,256.0
buy,1615,246.5
sell,1618,253.5
buy,1620,246.5
sell,1662,296.5
buy,1665,290.0
sell,1677,311.0
buy,1680,301.0
sell,1686,315.0
buy,1694,305.0
sell,1704,339.0
buy,1709,329.0
sell,1714,338.0
buy,1716,331.0
sell,1718,339.5
buy,1730,316.5
sell,1735,332.5
buy,1751,311.0
sell,1754,323.0
buy,1764,248.0
sell,1765,270.0
buy,1766,255.0
sell,1769,280.0
buy,1771,267.5
sell,1776,285.0
buy,1779,278.5
sell,1783,306.5
buy,1786,294.0
sell,1792,304.5
buy,1793,295.0
sell,1798,301.0
buy,1801,293.0
sell,1820,322.5
buy,1823,309.5
sell,1852,435.0
buy,1853,422.0
sell,1854,434.0
buy,1856,416.0
sell,1859,435.0
buy,1863,419.0
sell,1864,429.0
buy,1869,415.0
sell,1874,444.0
buy,1876,426.5
sell,1879,436.0
buy,1881,426.0
sell,1888,458.0
buy,1894,423.0
sell,1904,462.0
buy,1917,432.0
sell,1930,497.0
buy,1935,487.0
sell,1944,524.0
